Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
fastidious,"GregMat Vocab: showing great care and attention to detail; hard to please | Kaplan 900 + High Frequency GRE: Difficult to please, very attentive, concerned about accuracy | Magoosh GRE 1000 Words: (adjective): overly concerned with details; fussy Whitney is fastidious about her shoes, arranging them on a shelf in a specific order, each pair evenly spaced. | WordSmart I Complete 850 Words: Pronunciation: fas-TID-ee-us; English: meticulous; Bengali: অতযন্ত খ্তুাঁ খ্নুাঁ ত / পবরচ্ছনত্নায সনচতন; Example: She was fastidious about keeping her desk organized.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,showing great care and attention to detail; hard to please,,"Difficult to please, very attentive, concerned about accuracy","(adjective): overly concerned with details; fussy Whitney is fastidious about her shoes, arranging them on a shelf in a specific order, each pair evenly spaced.",Pronunciation: fas-TID-ee-us; English: meticulous; Bengali: অতযন্ত খ্তুাঁ খ্নুাঁ ত / পবরচ্ছনত্নায সনচতন; Example: She was fastidious about keeping her desk organized.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
fatalist,"WordSmart I Complete 850 Words: Pronunciation: FAY-tuh-list; English: someone who believes that future events are already determined and that humans are powerless to change them; Bengali: ভাগযিােী; Example: As a fatalist, he believed nothing could be changed.",WordSmart I Complete 850 Words,,,,,"Pronunciation: FAY-tuh-list; English: someone who believes that future events are already determined and that humans are powerless to change them; Bengali: ভাগযিােী; Example: As a fatalist, he believed nothing could be changed.",WordSmart1_Complete_850Words.pdf
fatuous,Kaplan 900 + High Frequency GRE: Silly and pointless | WordSmart I Complete 850 Words: Pronunciation: FACH-oo-us; English: foolish; Bengali: বননিািে / ছিাকাবমপূণ ে; Example: His fatuous comment drew laughter from the room.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,Silly and pointless,,Pronunciation: FACH-oo-us; English: foolish; Bengali: বননিািে / ছিাকাবমপূণ ে; Example: His fatuous comment drew laughter from the room.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fauna,Kaplan 900 + High Frequency GRE: animals | WordSmart I Complete 850 Words: Pronunciation: FAW-nuh; English: animals; Bengali: প্রাবণজগৎ / স্থানীয পশু; Example: The national park protects the rich local fauna.,Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,animals,,Pronunciation: FAW-nuh; English: animals; Bengali: প্রাবণজগৎ / স্থানীয পশু; Example: The national park protects the rich local fauna.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fawn,"GregMat Vocab: display exaggerated affection or flattery, usually to gain favor | Kaplan 900 + High Frequency GRE: Young deer, Give display of flattery and affection | Magoosh GRE 1000 Words: (verb): try to gain favor by extreme flattery The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,"display exaggerated affection or flattery, usually to gain favor",,"Young deer, Give display of flattery and affection","(verb): try to gain favor by extreme flattery The media fawned over the handsome new CEO, praising his impeccable sense of style instead of asking more pointed questions.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
fawning,"Kaplan 900 + High Frequency GRE: to show excessive affection, to be overly flattering in return for favor",Kaplan 900 + High Frequency GRE,,,"to show excessive affection, to be overly flattering in return for favor",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
feasible,GregMat Vocab: likely to be achieved; practical | Barron's 1100 - First 20 Weeks: practicable,GregMat Vocab; Barron's 1100 - First 20 Weeks,likely to be achieved; practical,practicable,,,,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
feckless,"GregMat Vocab: without skill, ineffective, incompetent | Kaplan 900 + High Frequency GRE: lacking responsibility, ineffective | Magoosh GRE 1000 Words: (adjective): lazy and irresponsible Two years after graduation, Charlie still lived with his parents and had no job, becoming more feckless with each passing day.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,"without skill, ineffective, incompetent",,"lacking responsibility, ineffective","(adjective): lazy and irresponsible Two years after graduation, Charlie still lived with his parents and had no job, becoming more feckless with each passing day.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
fecund,"GregMat Vocab: fertile or highly productive | Kaplan 900 + High Frequency GRE: fertile, productive, fruitful | Magoosh GRE 1000 Words: (adjective): intellectually productive The artist had entered a fecund period, producing three masterpieces in the span of two months. | WordSmart I Complete 850 Words: Pronunciation: FEK-und; English: productive; Bengali: উিরে / সৃজনশীল; Example: The fecund soil produced an abundant harvest.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,fertile or highly productive,,"fertile, productive, fruitful","(adjective): intellectually productive The artist had entered a fecund period, producing three masterpieces in the span of two months.",Pronunciation: FEK-und; English: productive; Bengali: উিরে / সৃজনশীল; Example: The fecund soil produced an abundant harvest.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
feeble,GregMat Vocab: weak; deficient in strength,GregMat Vocab,weak; deficient in strength,,,,,GregMat Vocab.pdf
feign,"GregMat Vocab: pretend or simulate | Kaplan 900 + High Frequency GRE: to pretend, give a false impression, to invent falsely",GregMat Vocab; Kaplan 900 + High Frequency GRE,pretend or simulate,,"to pretend, give a false impression, to invent falsely",,,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
feint,"GregMat Vocab: a deceptive movement or action | Barron's 1100 - First 20 Weeks: pretense, sham",GregMat Vocab; Barron's 1100 - First 20 Weeks,a deceptive movement or action,"pretense, sham",,,,GregMat Vocab.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
felicitous,GregMat Vocab: 1. well-suited or apt 2. causing delight or satisfaction,GregMat Vocab,1. well-suited or apt 2. causing delight or satisfaction,,,,,GregMat Vocab.pdf
felicity,WordSmart I Complete 850 Words: Pronunciation: fuh-LIS-ih-tee; English: happiness; Bengali: আনন ্দ/ সুখ্; Example: She found felicity in simple things.,WordSmart I Complete 850 Words,,,,,Pronunciation: fuh-LIS-ih-tee; English: happiness; Bengali: আনন ্দ/ সুখ্; Example: She found felicity in simple things.,WordSmart1_Complete_850Words.pdf
fell,"Magoosh GRE 1000 Words: (adjective): terribly evil For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good--unless, that is, JK Rowling decides to come out of retirement.",Magoosh GRE 1000 Words,,,,"(adjective): terribly evil For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good--unless, that is, JK Rowling decides to come out of retirement.",,magoosh-gre-1000-words_oct01.pdf
felon,Barron's 1100 - First 20 Weeks: criminal,Barron's 1100 - First 20 Weeks,,criminal,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
feral,"Kaplan 900 + High Frequency GRE: wild, like a wild animal, savage",Kaplan 900 + High Frequency GRE,,,"wild, like a wild animal, savage",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
ferret,"Magoosh GRE 1000 Words: (verb): to search for something persistently Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words.",Magoosh GRE 1000 Words,,,,"(verb): to search for something persistently Ever the resourceful lexicographer, Fenton was able to ferret out the word origin of highly obscure words.",,magoosh-gre-1000-words_oct01.pdf
fervent,GregMat Vocab: exhibiting enthusiasm and zeal,GregMat Vocab,exhibiting enthusiasm and zeal,,,,,GregMat Vocab.pdf
fervid,GregMat Vocab: excessively energetic or eager,GregMat Vocab,excessively energetic or eager,,,,,GregMat Vocab.pdf
fervor,GregMat Vocab: intense enthusiasm toward something | Kaplan 900 + High Frequency GRE: Zeal | WordSmart I Complete 850 Words: Pronunciation: FUR-ver; English: ardor; Bengali: উৎসাহ / প্রিল আনিগ; Example: He spoke about independence with great fervor.,GregMat Vocab; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,intense enthusiasm toward something,,Zeal,,Pronunciation: FUR-ver; English: ardor; Bengali: উৎসাহ / প্রিল আনিগ; Example: He spoke about independence with great fervor.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fester,"GregMat Vocab: (of a negative feeling or a problem) worsen, especially due to lack of attention",GregMat Vocab,"(of a negative feeling or a problem) worsen, especially due to lack of attention",,,,,GregMat Vocab.pdf
fete,"Magoosh GRE 1000 Words: (verb): to celebrate a person After World War II, war heroes were feted at first but quickly forgotten.",Magoosh GRE 1000 Words,,,,"(verb): to celebrate a person After World War II, war heroes were feted at first but quickly forgotten.",,magoosh-gre-1000-words_oct01.pdf
fetter,"Barron's 1100 - First 20 Weeks: to hamper, to chain | Kaplan 900 + High Frequency GRE: to impede, restrain, hamper | WordSmart I Complete 850 Words: Pronunciation: FET-er; English: to restrain; Bengali: শৃঙ্খবলত করা / বনযনণ্ত্র করা; Example: He was fettered by old-fashioned thinking.",Barron's 1100 - First 20 Weeks; Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,"to hamper, to chain","to impede, restrain, hamper",,Pronunciation: FET-er; English: to restrain; Bengali: শৃঙ্খবলত করা / বনযনণ্ত্র করা; Example: He was fettered by old-fashioned thinking.,WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fey,"Kaplan 900 + High Frequency GRE: otherworldly, magical, ""touched""",Kaplan 900 + High Frequency GRE,,,"otherworldly, magical, ""touched""",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
fiasco,Barron's 1100 - First 20 Weeks: complete failure,Barron's 1100 - First 20 Weeks,,complete failure,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
fickle,"GregMat Vocab: quick to change one’s opinion or allegiance | Kaplan 900 + High Frequency GRE: Faithless, Changeable in friendship or relationship | Magoosh GRE 1000 Words: (adjective): liable to sudden unpredictable change, esp. in affections or attachments She was so fickle in her politics, it was hard to pinpoint her beliefs; one week she would embrace a side, and the next week she would denounce it.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,quick to change one’s opinion or allegiance,,"Faithless, Changeable in friendship or relationship","(adjective): liable to sudden unpredictable change, esp. in affections or attachments She was so fickle in her politics, it was hard to pinpoint her beliefs; one week she would embrace a side, and the next week she would denounce it.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
fidelity,"Kaplan 900 + High Frequency GRE: a state of being faithful, loyal | WordSmart I Complete 850 Words: Pronunciation: fih-DEL-ih-tee; English: loyalty; Bengali: বিশ্বস্তা / আনুগতয; Example: Dogs are known for their fidelity to their owners.",Kaplan 900 + High Frequency GRE; WordSmart I Complete 850 Words,,,"a state of being faithful, loyal",,Pronunciation: fih-DEL-ih-tee; English: loyalty; Bengali: বিশ্বস্তা / আনুগতয; Example: Dogs are known for their fidelity to their owners.,WordSmart1_Complete_850Words.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
